Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
ACCOLADE HEALTHCARE,7,7,1,0,1,2,28.6,100,0,0,2,2.3,1.6,3.6,3.4,2.8,0.7,52.3,56,0.5,21,3,724852.51,103550.36,7,1,22.8,10.5,2,1.7,79.1,65.6,86.1,1.31,1.46,12.1,2.3,10,0.9,1.4,16.5,11.2,95.1,91.1,0,53.6,11.5,30.1,22.6,11.8,44.6,14.2
ACCURA HEALTHCARE,8,31,4,0,0,1,3.2,100,0,0,2.5,2.6,3.3,2.7,3.6,3.1,0.7,47.6,57.5,0.6,34,1.1,710252.82,22911.38,11,0.4,21.8,13.3,2,2.5,80,71.9,90.8,1.62,2.03,18.6,3.9,6.1,2.4,1.4,21.2,17.5,95.8,95.2,0,48.2,5.5,3.7,18.8,10.2,30.1,14.8
ACTS RETIREMENT-LIFE COMMUNITIES,9,26,9,0,0,0,0,3.8,96.2,0,4.7,4,4.7,4.1,4.8,4.2,1.3,29.5,34.1,0.5,10,0.4,456697.9,17565.3,2,0.1,21.7,10.3,1.4,2.6,79.3,93.7,84.6,1.23,1.05,11.9,6,4.7,2.2,1,19,15.3,98.7,96.3,0,62.5,5.6,1.9,16.6,10.5,39.6,5.4
ADAMS COUNTY MEMORIAL HOSPITAL,10,9,1,0,1,2,22.2,44.4,22.2,33.3,3,3.2,2.4,3.9,3.4,3,0.7,55.6,52.4,0.9,9,1,59055.69,6561.74,0,0,18.1,6.7,0.7,1.6,71.9,70.3,83,1.73,1.1,10.2,3.9,5.9,3.2,1.4,18,14.8,94.9,92.5,0,58,5,6.2,19,10.2,33.9,9.5
ADVANCED HEALTH CARE,11,26,11,0,0,1,3.8,100,0,0,4.8,4.3,4.1,4.9,5.6,4.6,1.5,43.2,39.8,0.2,48,1.8,249402.84,9592.42,0,0,18.6,9.1,0.5,1.7,83,88,92.7,,,,,,,,,,66,,,39.9,,,,11.3,16.3,5.7
ADVANCED HEALTH CARE MANAGEMENT,12,6,2,0,0,1,16.7,100,0,0,2,2.5,3.3,1.8,4.2,3.3,0.5,42.6,37.6,0,2,0.3,16662.75,2777.13,0,0,22.9,13.7,1.7,1.8,72.5,95.6,99.1,2.52,2.51,15.6,3.1,8.6,2.5,1,23.8,19.7,99.1,98.7,0,50.4,3.4,2.2,25.4,12.8,19.9,0.2
ADVANCED HEALTHCARE SOLUTIONS,13,39,1,0,1,5,12.8,79.5,0,20.5,2.6,2.5,2,3.6,3.2,2.8,0.4,50.1,49.8,0.5,60,1.5,2054653.05,52683.41,3,0.1,22.4,13.7,1.8,1.8,75.5,90.7,92.5,1.54,1.93,8.9,2.8,7.8,0.2,1.1,14.2,14.5,98.6,99,0,47.2,4.6,3.5,21.7,10.7,24.2,9.6
ADVENTIST HEALTH,671,5,1,0,0,0,0,20,80,0,4,3.4,3.6,4.6,6.2,5.7,2.1,27.3,28.2,0,1,0.2,657.8,131.56,1,0.2,18.8,4.6,1,0.8,79.9,90.9,83.5,1.38,0.99,15.9,1.4,9.2,2.7,2.3,12.3,10.4,98.8,97.2,1.8,43.6,4.2,3.4,17.6,12.3,9.1,1.5
ADVINIACARE,16,12,2,0,3,3,25,100,0,0,1.7,1.6,2.5,3.1,3.6,3.2,0.6,50.2,64.2,2.7,27,2.3,1261814.44,105151.2,3,0.3,24.5,12.6,1.5,2.4,74.7,74.2,75.6,1.73,1.52,17.5,4.4,6.3,2.1,1.1,20.4,18,88.7,89.3,0.1,61.6,6.5,2.6,18.1,10.9,30.3,17.9
AHAVA HEALTHCARE,17,12,3,0,0,0,0,100,0,0,1.9,2.2,1.6,3.8,3.6,3.2,0.4,59.5,63.6,0.6,15,1.3,597156.86,49763.07,2,0.2,25.7,12.3,2.4,1.7,89.1,83.3,82.2,1.6,1.94,13.7,2.3,9,1.2,0.4,13,12,97.4,91.9,0,56,5.4,11.6,30.5,10.8,38.7,27.8
AHMC HEALTHCARE,18,5,1,0,0,0,0,100,0,0,3.4,3.4,3,3.8,6.4,5.9,2,19,9.8,,13,2.6,204301.79,40860.36,2,0.4,26.7,3.2,0.7,0,81.9,84.6,91.3,1.69,0.84,6.6,0.6,20,3,7.6,16.8,13,97.6,97.8,2.3,40.2,7.8,0.2,12.4,11.3,59.9,15
AJC HEALTHCARE,616,13,1,0,0,1,7.7,100,0,0,2.5,2.3,2.3,4.3,3.7,3.3,0.3,41.1,65.1,0.9,44,3.4,618148.24,47549.86,5,0.4,21.1,11.3,2,1.4,79.9,88.4,89,2.19,2.2,8.8,2.8,5,0.9,0.4,8,6.2,96,97.4,0,31.9,3.8,13.2,14.4,10.5,27.8,10.5
AKIKO IKE,582,6,3,0,2,2,33.3,100,0,0,2.5,2,4.2,3,3.9,3.6,0.8,48,41,0.7,10,1.7,322984.73,53830.79,4,0.7,21.2,13.2,1.8,3.6,69.8,72.4,84.7,1.84,1.49,19.3,3.5,9,1.5,0.9,21.4,17.3,94.6,96.6,0,55.8,6.8,2.6,16.1,9.5,38,7.7
ALARIS HEALTH,20,8,1,0,0,1,12.5,100,0,0,3.4,2.9,4.4,4.4,4.6,4,1.1,41.8,36.3,1.1,9,1.1,99517.93,12439.74,1,0.1,21,7.8,1.1,1.4,88.4,71.1,80.2,1.89,1.52,11.9,1.4,10,1.5,1.6,9.8,10.5,97.4,95.2,0.1,30.7,3.6,0.3,16,11.1,27,8.1
ALIYA HEALTHCARE,663,7,1,0,0,2,28.6,100,0,0,2.1,2.1,1.4,3.4,3.1,2.6,0.7,41.7,45.1,1.6,27,3.9,1374355.25,196336.46,11,1.6,27.7,11,2,1.4,76.1,42.9,55,1.66,1.32,24.1,1.8,10.7,0.3,0.7,17,12,89.2,76.3,0,56.4,7.4,69.4,16.7,10.5,31.1,1.8
ALLAIRE HEALTH SERVICES,21,14,4,0,1,0,0,92.9,7.1,0,2.3,1.8,2.9,4.1,3.8,3.2,0.6,55.2,51.6,0.5,22,1.6,760686.81,54334.77,6,0.4,21.4,9.9,1,4.2,86.2,76.1,83,1.88,1.5,16.4,3.3,8.6,0.8,0.3,10.8,8.7,97.7,92.5,0,52.6,6.9,5.8,18.5,10.6,30.7,1.4
ALLEGIANT HEALTHCARE,22,5,2,0,0,1,20,100,0,0,2.2,1.8,2.8,3.8,4.1,3.8,0.6,65.9,74.6,0.5,23,4.6,247587.55,49517.51,0,0,22.5,7.7,1.9,2.3,71.2,84.7,91.7,1.36,1.44,10,2.8,9.2,0.5,1.6,14.5,12.9,98.5,98.8,0.3,45.3,6.8,2.9,24.4,11.9,0.9,1.4
ALLIANCE HEALTH & HUMAN SERVICES,23,7,1,0,0,1,14.3,0,100,0,3.7,3.4,3.6,4,3.9,3.5,0.6,44.2,46.9,0,6,0.9,84526.75,12075.25,0,0,25.8,9.5,0.8,1.9,82,82.6,86.8,1.29,1.18,17.1,4.6,6.8,2.5,0.8,16.3,14.1,97,95.5,0.1,48.1,3,0.3,16,11.8,34,11.7
ALLURE HEALTHCARE SERVICES,25,16,1,0,0,5,31.3,100,0,0,2.4,3.1,1.2,3.2,3.4,3,0.5,52.7,56.1,0.6,21,1.3,733160.55,45822.53,7,0.4,22.3,16.5,1.2,3.9,72.5,66.6,70.1,1.26,1.88,19.7,3.9,7,3.8,1.1,15.3,13.3,93.4,92.9,0,44.7,6.4,51.5,21.7,10.1,49.8,5.6
ALPHA SNF MA,680,5,1,0,0,1,20,100,0,0,2.4,2.4,2.4,3.8,3.2,2.9,0.5,44.5,44.4,0.7,18,3.6,275008.72,55001.74,1,0.2,17.3,16.9,0.4,1.5,73,69.3,51.7,1.51,1.31,19.1,4.4,5.4,1.4,0.4,16.8,15.2,96.6,91.8,0,42.8,5.3,0.8,19.6,11,68.5,37.6
ALTERCARE,26,23,1,0,0,1,4.3,100,0,0,2.9,2.9,1.3,4.6,3.5,3,0.7,,,,41,1.8,425732.55,18510.11,2,0.1,20.3,9.5,1.2,1.7,85.3,72.1,66.7,1.23,1.44,9.4,3.9,6.1,1.4,0.2,15,11.5,94.6,86.2,0.1,54.7,6,23.4,25.9,10.6,24,6.3
AMA HOLDINGS,27,13,1,0,2,2,15.4,92.3,7.7,0,1.1,1.5,1,2.2,3.1,2.7,0.4,74.7,70.5,1.1,29,2.2,651837.53,50141.35,9,0.7,25.4,13.8,0.9,3,73.4,52.9,62.1,2.23,1.94,15,2.8,9.3,1.3,0.5,23.1,24.8,82.4,81.6,0,39.1,3.3,28.9,19.1,10.8,47.7,34.5
AMBASSADOR HEALTH,28,4,2,0,0,0,0,100,0,0,4.5,4.5,4,4,5.4,4.6,1.1,39.1,35.8,0.3,4,1,16905.01,4226.25,0,0,21.1,9.1,0.3,1.1,65.7,76.9,76.7,1.67,1.62,14.7,4,5.6,2,2.2,12.9,11.5,93.4,83.9,0.6,47.1,2.2,2.6,26.1,10.9,60.4,17.6
AMERICAN BAPTIST HOMES OF THE MIDWEST,29,6,5,0,0,0,0,0,100,0,2.5,2.2,3.2,3.5,4,3.5,0.7,55.5,53.4,0.7,26,4.3,183040.53,30506.76,2,0.3,20.7,15.7,1.2,3.5,76.8,72.5,87.9,1.32,1.54,16.1,3.9,6.1,2.3,0.9,17.9,14.7,97.6,95.2,0,56.9,3.2,2.2,8.2,9.6,31.7,2.8
AMERICAN HEALTH COMMUNITIES,30,29,2,0,2,4,13.8,100,0,0,2.4,2.7,2,2.6,3.6,3,0.5,46.7,39.1,0.3,35,1.2,876658.79,30229.61,2,0.1,22.2,12.3,1.7,4,81.1,70.6,68.3,1.59,1.34,20.1,2.8,10.1,3.2,1.6,23.7,17.7,86.5,83,0.1,45.7,7,12.5,36.6,11.3,23.2,5.6
AMERICAN HEALTH FOUNDATION,31,6,2,0,0,0,0,0,100,0,2.5,2.3,2.3,3,3.6,3.2,0.6,58.4,42.2,1,13,2.2,645012.3,107502.05,3,0.5,25.3,9.9,2,1,70.5,67.7,66.7,1.65,1.46,13.8,3.5,4.9,1,1.1,21.7,17.6,95.1,90.3,0,49.1,6.8,9.3,26.3,9.9,41.4,14.9
AMERICAN SENIOR COMMUNITIES,33,78,1,0,0,2,2.6,37.2,24.4,38.5,3.5,3.3,1.9,4.5,3.5,2.9,0.5,49.1,41.2,0.5,48,0.6,798752.5,10240.42,2,0,21,10.2,1,2.5,83.4,89.6,90.2,1.5,1.5,8.1,4.1,6.3,1.1,0.4,5.4,10.9,98.6,97.2,0,63.5,4.6,21.7,21.7,10.4,13.6,6
AMERICARE SENIOR LIVING,34,23,2,0,0,0,0,100,0,0,3.9,3.9,3.1,3.1,3.5,3,0.6,50.1,41.4,0.3,14,0.6,169786.11,7382,1,0,21.2,12,2.4,2,78.9,69.7,83.8,1.75,2.36,20.7,4.9,7.3,2.2,2,15.3,14.9,94.7,96.3,0,43.5,7.4,4.7,25,10.4,32.5,3.1
ANEW HEALTHCARE,35,9,3,1,0,3,33.3,88.9,11.1,0,1.5,1.9,1.3,2.9,2.8,2.4,0.4,100,100,,20,2.2,289492.83,32165.87,2,0.2,24.3,12.2,3.2,0.2,78,51.6,41.8,1.79,1.88,16.3,2.4,7.3,2.8,1.5,21.7,22.6,92,71.2,0,37.3,6.8,6.7,20.9,10.4,13.2,2.3
ANTHONY & BRYAN ADAMS,36,37,2,0,0,0,0,100,0,0,3.5,3.4,2.6,3.9,3.7,3.1,0.3,54.4,55.4,0.8,19,0.5,242884.85,6564.46,2,0.1,23.1,12,0.9,3.2,86.7,67,75.9,1.79,1.85,5.8,3.9,8.3,1.8,0.8,9.4,12.4,94,93.7,0,38.4,4.4,0.7,18.3,10.8,38.3,1.1
AOM HEALTHCARE,37,21,1,1,0,3,14.3,100,0,0,2,1.8,1.9,4.2,3.2,2.8,0.5,62.8,67.8,0.5,34,1.6,662976.64,31570.32,7,0.3,20.1,12.7,1.7,2.5,75.6,69.2,74.9,1.34,1.91,13.9,2.4,7.6,0.4,0.1,9.2,10.6,94.9,87.9,0,23.8,4.8,22.7,28.7,11.4,19.2,7.9
APERION CARE,38,38,2,3,3,14,36.8,94.7,0,5.3,1.9,2.1,1.4,3.4,2.9,2.5,0.5,50.4,46.9,0.7,143,3.8,5238294.1,137849.84,51,1.3,23.3,12.8,2.4,2.6,72.4,52.9,52.1,1.88,2.14,23.6,2.7,8.3,0.7,0.6,11.1,10.2,92.1,78.9,0.1,43.6,6.6,73,17.2,10.6,45.3,4.2
APPLE REHAB,39,20,2,0,1,6,30,100,0,0,1.8,1.9,2.3,2.3,3.3,3,0.6,46.6,51.2,0.7,41,2.1,916343.24,45817.16,2,0.1,22.1,12.2,2.4,1.7,73.4,49.4,42.7,2.17,1.76,16.8,4,6.2,3.2,1.8,26.5,20.7,88.4,73.1,0,42.7,8.1,1.3,14.9,10.5,34,3.5
ARABELLA HEALTHCARE MANAGEMENT,633,11,2,0,0,0,0,100,0,0,2.5,2.4,2.3,3.5,3.2,2.8,0.6,63.7,65.3,1.6,47,4.3,245941.17,22358.29,2,0.2,25.1,14.5,1.6,2.5,81.3,64.4,66.6,1.94,2.58,19.6,1.7,9.2,1.4,0.8,13.2,11.2,95.5,79.4,0,35.2,6.6,2.4,20.9,10.5,36,18
ARBOR CARE CENTERS,40,9,1,0,0,0,0,100,0,0,2.3,2.7,2.2,3.1,3.6,3.1,0.7,52.3,51.9,0.6,6,0.7,57011.5,6334.61,3,0.3,23,4.4,3.8,1.9,93.5,80.2,80.9,1.65,1.48,22.6,4.5,7.1,2.1,1.9,17.2,12.6,97.5,96.2,0,53.1,7.3,2.4,23.2,10.3,40.2,1.1
ARBORETA HEALTHCARE,618,24,5,0,1,2,8.3,95.8,0,4.2,1.8,1.8,2.5,2.4,3.2,2.8,0.7,42,42.1,1.4,34,1.4,887833.08,36993.05,10,0.4,16.8,16.2,2.1,4,77.4,61.1,73,1.76,2.4,21.7,3.2,7.3,2.4,1.2,21.3,19.8,92.7,87.3,0.1,47.3,5.7,5.5,25.9,10.5,36.4,5.4
ARBORS AT OHIO,41,16,1,0,1,5,31.3,100,0,0,2,1.9,2.6,4.2,3.7,3.1,0.7,49.8,47.2,0.8,26,1.6,911967.97,56998,6,0.4,18.9,13.9,2.1,3.5,86.5,74.1,72.8,1.63,1.79,9.7,3.3,7.6,0.6,0.3,9.8,9,97.6,92.7,0,44.7,8,4,27.3,10.4,23.8,0.5
ARCADIA CARE,42,11,1,0,1,3,27.3,100,0,0,2.3,2.5,1.2,3.4,2.8,2.5,0.5,55.5,59.5,0.6,37,3.4,1739371.29,158124.66,12,1.1,22.6,10.9,1.7,2.4,68.9,71.9,72.2,1.55,1.95,15.9,3.8,6.2,1.1,0.8,13.1,9.8,93.9,87.7,0,46.7,9.2,64.2,19.6,10.4,46.9,4.8
ARCHCARE,43,6,1,0,0,1,16.7,16.7,83.3,0,3.2,2.8,2.8,4.5,3.4,3,0.8,40.2,44.2,0.5,4,0.7,44905.75,7484.29,0,0,20.2,9.4,1.1,2.1,86.4,73.6,71.7,1.5,0.96,10.1,2.1,6.9,0.7,0.2,10.8,10.8,94.3,84.2,0.1,61.5,7.6,6.1,11.5,9.8,47.1,5.5
ARISTACARE,45,3,2,0,1,0,0,100,0,0,1.3,1.7,1.7,2.7,3.8,3.4,0.5,43.6,43.4,0,7,2.3,259405.1,86468.37,0,0,23.3,6.8,1.7,3.1,78.9,52.4,51.4,1.97,1.13,7.9,1,14.1,1.3,1.8,12.1,12.7,89.1,75.4,0.2,39.4,7.3,6.3,26.5,9,33.1,0.6
ARROWHEAD HEALTHCARE PARTNERS,46,5,1,0,0,1,20,60,0,40,2.4,2,1,4.6,2.7,2.4,0.3,56.3,61.1,2,10,2,343745.29,68749.06,1,0.2,16.2,8.6,0.4,2.1,82.7,84,94.9,1.38,1.54,6,4.1,6.4,0.4,0.7,16.1,16.9,99.5,99.8,0,60.7,6.2,1.5,16.6,12.2,0.2,0.2
ASBURY COMMUNITIES,47,8,3,0,1,0,0,0,100,0,3.3,3,4,3.5,4.3,3.9,0.9,43.5,28.4,0.6,8,1,349112.21,43639.03,2,0.3,19.1,12.6,1.7,3.8,78.1,78.2,90.3,1.42,0.98,13.2,3.6,7.3,3.6,0.5,24.7,14.9,98.2,97.8,0,63,6.4,1,15.9,10.8,46.7,10.2
ASCENSION LIVING,48,28,12,0,0,4,14.3,3.6,96.4,0,2.8,2.7,3.4,3.3,3.8,3.4,0.9,53.5,44.9,0.8,46,1.6,1589861.13,56780.75,9,0.3,22.3,12.6,1.2,3.4,72.3,72.7,75.4,1.74,1.8,12.2,4.9,8.4,3.3,1.3,18.6,16,92.9,94,0,47.7,5.5,9.6,15.6,10.4,21.7,4.2
ASCENTRIA CARE ALLIANCE,49,5,2,0,0,0,0,0,100,0,3.8,3.8,3.6,3,4.1,3.6,0.6,36.3,37.8,1.2,7,1.4,67988.78,13597.76,0,0,24.3,10.7,1.1,2.9,66.3,78.4,80.4,2.08,1.78,13.8,3.6,6.5,2.5,0.4,15.7,11.9,96.4,90.6,0.3,59.7,6.4,0.6,15,9.8,41.3,23.3
ASPEN SKILLED HEALTHCARE,50,28,1,0,2,3,10.7,100,0,0,3.3,2.8,3.3,4.4,4.3,3.9,0.6,44.2,47,0.5,78,2.8,1108987.84,39606.71,5,0.2,22.2,10.4,1.3,1.1,82.9,96.4,97.3,2.08,1.5,6.7,1.5,7.9,1.4,1.9,14.8,7.6,98.5,97.4,0,48.5,5,4.8,9.4,10.6,36.7,16.9
ASPIRE HEALTH GROUP,672,52,1,1,0,6,11.5,100,0,0,1.9,1.9,1.9,3.4,3.4,3.2,0.6,81.9,85.1,2.2,206,4,3522026.06,67731.27,7,0.1,23.1,9.8,1.8,3.3,77.1,90.2,90.2,2.01,1.46,8,2.5,10.8,0.9,0.7,17,14.8,98.5,97.4,0,47.4,6.5,1.4,23.1,10.9,33,23.2
ASPIRE SENIOR LIVING,51,8,1,0,0,0,0,100,0,0,2,2.4,2.1,2.3,3.6,3.1,0.4,52.1,49.8,0.5,25,3.1,87950.67,10993.83,0,0,24.1,14,4.1,0.6,64.3,61,66.1,1.91,1.8,26.8,3.8,8.6,7.4,0.9,13.6,15.3,89.3,81.6,0,25.4,6.2,14.9,25.3,10.7,42.4,8.4
ATHENA HEALTHCARE SYSTEMS,52,37,3,1,3,8,21.6,100,0,0,1.7,1.9,2.8,2.2,3.3,2.9,0.5,37.7,46.7,0.7,96,2.6,4480545.05,121095.81,12,0.3,24.6,14.4,2.4,2.1,70.1,58.1,60.6,1.93,2.15,26.2,3.6,6.2,1.8,1.3,19,17,87.7,87.4,0,44.6,6.5,4.3,24.1,10.6,27,9.2
ATIED ASSOCIATES,53,18,4,1,1,7,38.9,100,0,0,1.9,2.4,1.6,2.5,3,2.6,0.5,47.1,34.4,2,58,3.2,1937448.33,107636.02,18,1,29.5,10.4,2.7,2.1,70.3,48.9,45.4,2.04,1.76,21.3,2.3,7.4,2,1.5,13.6,13.8,88.8,74.7,0,43.9,6,49.7,14.3,10.7,41.9,19.3
ATLAS HEALTHCARE,598,11,2,0,0,0,0,100,0,0,3.4,3.2,1.9,4.9,3.4,3,0.5,56.3,54.8,0.7,16,1.5,232938.3,21176.21,1,0.1,20.1,7.6,0.9,2.5,89.6,74.3,65.8,1.39,0.79,13.1,2.1,7,0.3,0.2,9.4,8.2,97,90.6,0,54.3,6.7,6.1,16.2,10.6,34,4.2
ATRIUM CENTERS,54,27,4,0,0,4,14.8,100,0,0,2.6,2.5,2.8,3.4,3.3,2.9,0.7,49,49.4,0.5,45,1.7,1905591.7,70577.47,14,0.5,22.9,13.7,1.9,3.1,77.3,70.4,68,1.69,2.12,15.2,4.2,8.5,3.9,1.9,9.6,13.3,92.7,87.7,0.2,33.9,7.8,7.4,18.1,10.4,39.4,14.1
